CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25788,E01006702,Liverpool 014C,Lower Super Output Areas and Data Zones,LSOADZ,580,
25789,E01006703,Liverpool 014D,Lower Super Output Areas and Data Zones,LSOADZ,650,
25790,E01006705,Liverpool 009E,Lower Super Output Areas and Data Zones,LSOADZ,349,
25791,E01006706,Liverpool 045A,Lower Super Output Areas and Data Zones,LSOADZ,534,
25792,E01006707,Liverpool 045B,Lower Super Output Areas and Data Zones,LSOADZ,559,
25793,E01006708,Liverpool 045C,Lower Super Output Areas and Data Zones,LSOADZ,536,
25794,E01006709,Liverpool 040A,Lower Super Output Areas and Data Zones,LSOADZ,470,
25795,E01006710,Liverpool 045D,Lower Super Output Areas and Data Zones,LSOADZ,391,
25796,E01006711,Liverpool 027A,Lower Super Output Areas and Data Zones,LSOADZ,367,
25797,E01006712,Liverpool 029D,Lower Super Output Areas and Data Zones,LSOADZ,313,
25798,E01006713,Liverpool 029E,Lower Super Output Areas and Data Zones,LSOADZ,324,
25799,E01006716,Liverpool 032E,Lower Super Output Areas and Data Zones,LSOADZ,489,
25800,E01006717,Liverpool 027D,Lower Super Output Areas and Data Zones,LSOADZ,270,
25801,E01006718,Liverpool 027E,Lower Super Output Areas and Data Zones,LSOADZ,369,
25802,E01006719,Liverpool 027F,Lower Super Output Areas and Data Zones,LSOADZ,328,
25803,E01006720,Liverpool 035A,Lower Super Output Areas and Data Zones,LSOADZ,453,
25804,E01006721,Liverpool 038C,Lower Super Output Areas and Data Zones,LSOADZ,429,
25805,E01006722,Liverpool 038D,Lower Super Output Areas and Data Zones,LSOADZ,225,
25806,E01006723,Liverpool 038E,Lower Super Output Areas and Data Zones,LSOADZ,299,
25807,E01006724,Liverpool 038F,Lower Super Output Areas and Data Zones,LSOADZ,183,
25808,E01006725,Liverpool 035B,Lower Super Output Areas and Data Zones,LSOADZ,377,
