CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25693,E01006599,Liverpool 010B,Lower Super Output Areas and Data Zones,LSOADZ,1121,
25694,E01006600,Liverpool 011A,Lower Super Output Areas and Data Zones,LSOADZ,1407,
25695,E01006603,Liverpool 011B,Lower Super Output Areas and Data Zones,LSOADZ,1410,
25696,E01006604,Liverpool 016A,Lower Super Output Areas and Data Zones,LSOADZ,1367,
25697,E01006605,Liverpool 016B,Lower Super Output Areas and Data Zones,LSOADZ,1531,
25698,E01006606,Liverpool 020A,Lower Super Output Areas and Data Zones,LSOADZ,1521,
25699,E01006607,Liverpool 008A,Lower Super Output Areas and Data Zones,LSOADZ,1531,
25700,E01006608,Liverpool 009A,Lower Super Output Areas and Data Zones,LSOADZ,1215,
25701,E01006609,Liverpool 009B,Lower Super Output Areas and Data Zones,LSOADZ,1283,
25702,E01006610,Liverpool 009C,Lower Super Output Areas and Data Zones,LSOADZ,1397,
25703,E01006611,Liverpool 012A,Lower Super Output Areas and Data Zones,LSOADZ,1291,
25704,E01006612,Liverpool 008B,Lower Super Output Areas and Data Zones,LSOADZ,1495,
25705,E01006613,Liverpool 009D,Lower Super Output Areas and Data Zones,LSOADZ,1360,
25706,E01006614,Liverpool 012B,Lower Super Output Areas and Data Zones,LSOADZ,1322,
25707,E01006615,Liverpool 012C,Lower Super Output Areas and Data Zones,LSOADZ,1302,
25708,E01006616,Liverpool 015D,Lower Super Output Areas and Data Zones,LSOADZ,1428,
25709,E01006617,Liverpool 021A,Lower Super Output Areas and Data Zones,LSOADZ,1421,
25710,E01006618,Liverpool 016C,Lower Super Output Areas and Data Zones,LSOADZ,1639,
25711,E01006619,Liverpool 021B,Lower Super Output Areas and Data Zones,LSOADZ,1599,
25712,E01006620,Liverpool 021C,Lower Super Output Areas and Data Zones,LSOADZ,1417,
25713,E01006621,Liverpool 021D,Lower Super Output Areas and Data Zones,LSOADZ,1468,
25714,E01006622,Liverpool 021E,Lower Super Output Areas and Data Zones,LSOADZ,1519,
25715,E01006623,Liverpool 013A,Lower Super Output Areas and Data Zones,LSOADZ,1462,
25716,E01006624,Liverpool 013B,Lower Super Output Areas and Data Zones,LSOADZ,1556,
25717,E01006625,Liverpool 016D,Lower Super Output Areas and Data Zones,LSOADZ,1416,
25718,E01006626,Liverpool 016E,Lower Super Output Areas and Data Zones,LSOADZ,1448,
25719,E01006627,Liverpool 013C,Lower Super Output Areas and Data Zones,LSOADZ,1378,
25720,E01006628,Liverpool 052D,Lower Super Output Areas and Data Zones,LSOADZ,1874,
25721,E01006629,Liverpool 052E,Lower Super Output Areas and Data Zones,LSOADZ,1255,
